id|symbol|name
96235c9d-bcd4-4ede-9817-4b5e6a1941bf|AGFS|AgroFresh Solutions, Inc. Common Stock
173a28a5-d8fc-4a65-b3bc-53583fd02940|ALRN|Aileron Therapeutics, Inc. Common Stock
c50c97c6-535f-42be-97b5-e45f6f3634fa|AIRI|Air Industries Group
63c06e4e-a5b0-4ba6-bfaa-a2dbe089f5ca|AL|Air Lease Corporation
57ca9916-468b-4c77-8be7-2495a7c17df2|APD|Air Products & Chemicals, Inc.
6324471d-d568-40f4-8a09-a5caa0c46b3c|AIRT|Air T, Inc. Common Stock
55178625-5525-45a0-aff4-cd541ae8fade|ATSG|Air Transport Services Group, Inc
9fc56485-8d32-413c-9886-cdf2c504a3da|ANTE|AirNet Technology Inc. American Depositary Shares
403113aa-7838-4345-dd32-d63a5f9da70b|ABNB|Airbnb, Inc. Class A Common Stock
d57a439c-92b0-4953-9952-57c432b5ad9e|AIRG|Airgain, Inc. Common Stock
b8af2065-5072-453b-9d95-5c3934c2fba7|AKAM|Akamai Technologies, Inc. Common Stock
551df3f3-dbbc-4820-8b81-1e4b40e4e8ed|AKTX|Akari Therapeutics plc ADR (0.01 USD)
03d52475-5033-4a90-be28-2d3c174f0e86|AKBA|Akebia Therapeutics, Inc. Common Stock
51f6fbce-4dba-4b23-9e9a-19e467ad2c4a|KERN|Akerna Corp. Common Stock
0a5e6078-0184-48c8-9552-38cf40b4df4e|AKRO|Akero Therapeutics, Inc. Common Stock
424eedf8-c5d3-470f-96e3-6426a89896ec|AKUS|Akouos, Inc. Common Stock
eb4b0940-ace7-4746-8593-10c9dbdafbb7|AKTS|Akoustis Technologies, Inc. Common Stock
d87c5a0c-907d-4740-8ea8-c5f962b4fa34|ALG|Alamo Group, Inc.
93c9d209-0a8f-4a9a-b6af-66876bcfcbeb|ALRM|Alarm.com Holdings, Inc. Common Stock
706a4e67-10db-4ca5-9d05-5163302d734d|ALK|Alaska Air Group, Inc.
95795f1f-aede-408e-abe3-822afc356148|ALSK|Alaska Communications Systems Group, Inc. Common Stock
8d934924-6384-4e85-ba00-894cc0c42c6b|AIN|Albany International Corp Class A
90771657-de50-427a-9042-6b257dae4b7d|ALB|Albemarle Corporation
e688a26a-84c8-42e0-964a-24594f789ff6|ALAC|Alberton Acquisition Corporation Ordinary Shares
e6afb8f5-64ff-4a09-8bf7-e2ba891e0ae8|ACI|Albertsons Companies, Inc.
